sample_time,motor_angvel,motor_power
0.0020287036895751953,0.0,0.0
0.053612709045410156,0.0,0.0
0.10611367225646973,0.0,0.0
0.1575472354888916,0.0,0.0
0.2092137336730957,0.0,0.0
0.26059532165527344,0.0,0.0
0.31197547912597656,0.0,0.0
0.3633289337158203,0.0,0.0
0.4150526523590088,0.0,0.0
0.467282772064209,0.0,0.0
0.5186827182769775,0.0,0.0
0.5701229572296143,0.0,0.0
0.6214511394500732,0.0,0.0
0.6729068756103516,0.0,0.0
0.7256288528442383,0.0,0.0
0.7770040035247803,0.0,0.0
0.8283247947692871,0.0,0.0
0.8796610832214355,0.0,0.0
0.9310781955718994,0.0,0.0
0.9824645519256592,0.0,0.0
1.0344910621643066,0.0,0.0
1.0859341621398926,0.0,0.0
1.13767671585083,0.0,0.0
1.189927339553833,0.0,0.0
1.241396427154541,0.0,0.0
1.2927167415618896,0.0,0.0
1.3448984622955322,0.0,0.0
1.4470043182373047,0.0,0.0
1.4983751773834229,0.0,0.0
1.5496950149536133,0.0,0.0
1.601111888885498,0.0,0.0
1.6524865627288818,0.0,0.0
1.7038524150848389,0.0,0.0
1.7553229331970215,0.0,0.0
1.8070223331451416,0.0,0.0
1.8586156368255615,0.0,0.0
1.9099626541137695,0.0,0.0
1.9615774154663086,0.0,0.0
2.0131585597991943,0.0,0.0
2.0647401809692383,6.702064327658225,223.26600000000002
2.116112470626831,-4.71238898038469,300.911
2.1675167083740234,0.6283185307179586,276.885
2.218958854675293,4.084070449666731,286.554
2.2703464031219482,10.890854532444616,392.62
2.321747064590454,7.435102613495843,300.618
2.373164653778076,43.87757739513744,112.21900000000001
2.42480731010437,45.13421445657336,41.019999999999996
2.4764041900634766,52.569317070069204,21.096
2.5277726650238037,54.87315168270172,20.217
2.5792460441589355,56.129788744137635,12.892000000000001
2.630671262741089,60.73745796940266,14.357
2.7833564281463623,60.00441968356505,19.338
2.8351476192474365,60.31857894892403,16.701
2.8866326808929443,60.42329870404369,22.561
2.9383201599121094,57.70058507093253,18.459
2.9897522926330566,60.42329870404369,26.956000000000003
3.0413925647735596,57.70058507093253,14.943000000000001
